timestamp,ue_id,downlink_throughput,uplink_throughput,high_load
0,5479,18828,16399,0
10,6931,17979,15409,0
20,2505,20160,14926,0
30,4809,22212,15794,0
40,6367,18028,14521,0
50,2561,23975,15454,0
60,3097,22551,14807,0
70,1758,23406,14524,0
80,2773,25060,18285,0
90,7596,24258,16503,0
100,2916,22582,16473,0
110,5241,20969,18918,0
120,4504,24504,16433,0
130,9914,26219,19298,0
140,6520,26037,14690,0
150,7746,24216,16877,0
160,8001,28582,18486,0
170,8406,21506,15051,0
180,4951,31860,16265,0
190,3598,20761,17859,0
200,4954,24084,21991,0
210,6356,23094,18151,0
220,4264,24656,16388,0
230,5440,30538,21115,1
240,4156,26961,19822,0
250,8763,27645,21616,0
260,2302,24869,15721,0
270,3701,27779,21725,0
280,5826,35781,26072,1
290,5681,30489,23035,1
300,3200,30777,23745,1
310,3061,29149,22112,1
320,2844,28939,22800,1
330,3736,27768,20533,0
340,1206,27914,21014,0
350,8543,30377,21606,1
360,2143,30677,19064,0
370,7792,33514,23563,1
380,9234,31934,22360,1
390,8066,29097,24505,1
400,2287,25685,22385,0
410,1702,31881,21028,1
420,6003,38130,23577,1
430,2618,33701,22056,1
440,4463,26075,22593,0
450,4508,27395,21861,0
460,6977,24574,24790,0
470,9158,27475,24434,1
480,6645,25033,24133,0
490,1232,30997,27490,1
500,2008,32171,23999,1
510,8462,35833,24953,1
520,9888,33540,23679,1
530,6655,32814,20008,1
540,4622,34113,22665,1
550,9411,30757,22568,1
560,8865,23936,20589,0
570,6038,30038,21738,1
580,9733,23673,22912,0
590,7044,25666,16141,0
600,9597,26238,20418,0
610,3026,28989,20745,0
620,8898,33526,20783,1
630,4915,33060,22312,1
640,8913,25785,20276,0
650,8467,26731,18987,0
660,7914,33371,23596,1
670,9510,33048,22133,1
680,8638,24217,23415,0
690,9863,36197,20883,1
700,7649,30423,19263,0
710,7243,32254,18623,1
720,7741,28763,19621,0
730,7318,25922,21721,0
740,6756,30551,19511,0
750,5081,26930,18812,0
760,6718,23466,19681,0
770,1145,27599,18795,0
780,9936,37168,21405,1
790,7458,26874,18764,0
800,2248,31079,20763,1
810,8194,22189,22751,0
820,5680,27876,21278,0
830,7123,25912,18270,0
840,2348,27535,18817,0
850,9251,24776,23054,0
860,1353,27720,20214,0
870,9052,25486,19661,0
880,1512,24235,19497,0
890,2204,22784,22052,0
900,3747,27214,18250,0
910,4322,25418,19554,0
920,8225,21970,19541,0
930,9566,25503,18641,0
940,7039,25278,17494,0
950,8505,27213,21582,0
960,4078,24359,18066,0
970,2677,26547,19445,0
980,4613,23697,19324,0
990,3561,29421,23076,1
1000,8015,33073,23044,1
1010,6182,28911,16493,0
1020,6317,29525,18497,0
1030,8780,22554,18814,0
1040,3088,25896,19027,0
1050,4880,24943,16856,0
1060,3314,22708,20939,0
1070,6557,26108,17268,0
1080,4655,22085,19332,0
1090,4511,30495,21271,1
1100,8267,24533,15137,0
1110,4894,26504,18246,0
1120,6703,27443,19127,0
1130,2730,27770,18520,0
1140,7776,32205,22301,1
1150,6746,24422,18911,0
1160,2955,28150,19946,0
1170,1514,26271,21726,0
1180,2742,29679,19978,0
1190,8032,29650,18483,0
1200,1152,30722,19436,0
1210,7497,32068,18010,0
1220,4944,23777,16840,0
1230,3042,29826,21234,1
1240,7186,29447,21401,1
1250,5576,24840,21165,0
1260,7981,24796,17553,0
1270,6370,23544,19515,0
1280,5829,21138,16556,0
1290,3545,31716,18835,1
1300,2423,27077,19607,0
1310,5811,20571,16955,0
1320,4664,25594,20561,0
1330,5937,24708,21606,0
1340,5763,27706,22495,0
1350,5240,26832,20893,0
1360,5519,24144,18403,0
1370,2097,22228,16718,0
1380,3684,29017,18679,0
1390,6709,26259,18205,0
1400,8541,22129,17865,0
1410,7796,26108,15692,0
1420,2680,23513,17737,0
1430,3051,31080,19165,0
1440,1304,24620,17800,0
1450,3087,27690,17721,0
1460,2434,26410,14424,0
1470,6825,21520,18353,0
1480,2775,24548,14462,0
1490,3901,23791,18581,0
1500,5291,21977,14994,0
1510,4588,24348,14005,0
1520,8955,27985,16077,0
1530,5229,25723,16853,0
1540,3500,24606,17492,0
1550,3129,19567,15470,0
1560,1530,19312,15739,0
1570,8767,24113,18962,0
1580,2431,19058,18757,0
1590,7754,23981,17054,0
1600,5191,21980,18657,0
1610,9757,21462,13738,0
1620,5395,22078,17339,0
1630,5467,22750,16578,0
1640,8464,20290,15379,0
1650,5424,19624,14796,0
1660,5456,16804,15250,0
1670,6892,22107,16922,0
1680,5257,16830,14377,0
1690,6947,18904,14318,0
1700,8441,18469,14650,0
1710,6648,17287,15300,0
1720,8297,18609,14721,0
1730,7689,18310,12551,0
1740,3254,16789,13374,0
1750,8243,19217,13889,0
1760,8057,22226,14841,0
1770,6593,16186,11020,0
1780,7792,15099,12954,0
1790,8164,17871,13580,0
1800,4322,14614,11488,0
1810,9672,13739,11547,0
1820,7604,18362,11415,0
1830,5441,14658,10796,0
1840,5179,13785,11985,0
1850,4197,11517,11456,0
1860,3316,14389,11768,0
1870,2637,14389,11187,0
1880,5708,12360,11531,0
1890,5074,10276,9907,0
1900,8621,12475,11573,0
1910,9502,16012,9537,0
1920,1317,11529,10116,0
1930,6680,11558,9048,0
1940,7090,11204,10517,0
1950,5869,11363,9874,0
1960,2532,13727,11791,0
1970,3830,9886,8785,0
1980,9769,9667,9011,0
1990,9199,12217,8429,0
2000,1998,12308,7911,0
2010,8576,10336,8940,0
2020,8958,12030,7965,0
2030,9662,10773,8074,0
2040,8716,13115,7868,0
2050,1723,13542,8698,0
2060,1837,13439,7786,0
2070,3203,11818,6855,0
2080,7500,9873,7078,0
2090,7922,11714,7395,0
2100,7410,10072,7807,0
2110,7161,10865,7234,0
2120,4257,9504,7040,0
2130,4889,8690,6858,0
2140,5536,7594,6677,0
2150,9235,8254,5785,0
2160,9321,10155,7404,0
2170,1063,11887,7869,0
2180,8028,9584,6399,0
2190,4098,9192,7881,0
2200,2567,8008,6788,0
2210,7765,9838,6893,0
2220,7096,8935,6993,0
2230,7049,9289,7714,0
2240,4643,9390,7386,0
2250,6973,9264,6860,0
2260,8063,10945,7363,0
2270,4253,11357,6265,0
2280,6278,9026,6997,0
2290,7609,7092,7294,0
2300,1300,8048,6423,0
2310,3659,10377,6170,0
2320,8738,8598,6964,0
2330,2801,8898,6903,0
2340,8129,10273,6713,0
2350,3499,8796,7767,0
2360,7230,9552,7864,0
2370,6975,9891,6930,0
2380,4608,8003,7282,0
2390,9418,7458,7487,0
2400,6485,7621,6622,0
2410,5341,7771,5953,0
2420,9752,10232,6553,0
2430,7430,9647,7277,0
2440,1282,10658,6764,0
2450,4829,10505,8761,0
2460,8402,10490,6932,0
2470,8660,10213,6959,0
2480,1381,10843,8155,0
2490,3426,9345,5863,0
2500,6750,10377,6221,0
2510,2677,11587,7403,0
2520,5677,10763,6527,0
2530,1654,10078,8218,0
2540,3628,9751,7036,0
2550,5267,9755,8604,0
2560,2619,10155,9683,0
2570,9671,9698,8471,0
2580,4407,11579,8333,0
2590,4920,13210,8682,0
2600,3131,9755,9324,0
2610,5998,12146,8683,0
2620,6324,10656,8800,0
2630,4583,10410,9855,0
2640,6188,14083,7783,0
2650,7810,11937,10151,0
2660,1887,12424,10183,0
2670,6713,12818,9028,0
2680,8815,14928,10166,0
2690,5037,12236,7959,0
2700,7504,12593,9847,0
2710,5016,13808,9611,0
2720,3865,13053,11555,0
2730,6837,12576,11178,0
2740,2811,16209,10616,0
2750,9087,13439,11123,0
2760,5657,17317,10746,0
2770,4404,13337,14792,0
2780,5466,12631,9917,0
2790,4248,16064,11534,0
2800,6341,17360,11307,0
2810,1712,15220,12279,0
2820,3479,17238,10299,0
2830,9654,14513,11184,0
2840,3032,15448,11988,0
2850,9330,15437,10832,0
2860,9033,13413,11328,0
2870,3987,17082,13092,0
2880,6445,17214,13624,0
2890,1902,16416,12246,0
2900,4042,19259,13011,0
2910,2963,16065,12940,0
2920,8237,15593,15694,0
2930,2641,18352,13555,0
2940,5454,16977,12968,0
2950,1066,15437,12739,0
2960,4665,18332,12521,0
2970,7961,18367,13990,0
2980,6427,17106,11232,0
2990,5403,18687,14601,0
3000,5219,17455,12713,0
3010,8242,21046,13996,0
3020,7160,21884,13753,0
3030,8887,25015,14695,0
3040,4255,19458,13384,0
3050,5597,18586,16273,0
3060,3301,16504,13163,0
3070,9224,21902,14964,0
3080,6443,21088,12799,0
3090,9619,17745,12046,0
3100,1157,18941,15880,0
3110,2442,17468,14316,0
3120,5729,20706,14223,0
3130,8730,18715,14496,0
3140,3606,21139,15608,0
3150,1424,20719,15001,0
3160,7455,17243,14708,0
3170,4162,24391,16058,0
3180,2274,17133,15942,0
3190,9002,18849,14623,0
3200,1616,20953,16263,0
3210,9154,23018,13535,0
3220,6818,18801,13383,0
3230,3069,24347,17361,0
3240,7838,19260,13224,0
3250,2296,24845,16965,0
3260,5067,19827,16756,0
3270,1850,23009,16416,0
3280,9548,17947,14684,0
3290,1394,23816,15172,0
3300,7588,22559,19350,0
3310,2307,26137,17948,0
3320,2311,18374,13299,0
3330,4812,21986,14441,0
3340,2895,22304,15921,0
3350,3515,19820,15989,0
3360,7301,21668,19193,0
3370,8102,22165,17655,0
3380,1274,23015,17682,0
3390,7118,23650,17050,0
3400,7438,24464,18279,0
3410,8958,28184,17167,0
3420,3930,19924,16520,0
3430,6219,25071,16831,0
3440,5178,23844,18866,0
3450,7884,25271,19212,0
3460,5509,22246,18423,0
3470,5860,22015,16560,0
3480,6970,28796,18167,0
3490,7761,22281,20134,0
3500,7802,23892,21689,0
3510,4772,24364,21037,0
3520,7744,26402,19539,0
3530,8938,23107,22095,0
3540,6182,21767,16680,0
3550,5066,23167,17563,0
3560,8091,28477,17925,0
3570,4134,25511,17917,0
3580,5848,23497,15771,0
3590,6440,21902,21102,0
3600,7159,25087,18332,0
3610,9459,20614,18229,0
3620,6368,24622,20095,0
3630,2550,28304,20712,0
3640,6011,24545,19504,0
3650,8067,29510,17412,0
3660,3560,26472,21556,0
3670,5204,26100,20145,0
3680,6320,24704,20211,0
3690,1317,24134,21791,0
3700,7196,30929,19346,0
3710,4797,31751,21145,1
3720,8660,29948,21241,1
3730,7877,27405,18786,0
3740,6243,34076,20672,1
3750,4179,32658,22086,1
3760,5754,27381,19905,0
3770,5281,31639,16469,0
3780,9994,31071,23014,1
3790,7795,28650,23324,1
3800,7770,29958,20220,0
3810,6585,35347,25109,1
3820,5686,30079,23059,1
3830,7087,27339,24423,1
3840,5148,31236,20027,1
3850,1399,29597,20949,1
3860,9559,34391,27072,1
3870,5211,29674,23860,1
3880,8054,25548,23610,0
3890,8048,29365,22603,1
3900,1383,27411,24124,1
3910,7388,34989,22516,1
3920,2970,31432,24354,1
3930,6995,42884,24531,1
3940,1038,30681,25512,1
3950,5723,31159,26395,1
3960,1305,38848,23786,1
3970,8172,40019,20578,1
3980,2392,29443,23046,1
3990,8717,32135,26490,1
4000,4347,27169,24861,1
4010,7488,31776,24860,1
4020,4428,25756,24229,0
4030,8214,42397,27793,1
4040,8182,29840,20656,0
4050,1834,33911,22707,1
4060,9744,28913,26928,1
4070,6410,26807,25322,1
4080,1144,33860,22363,1
4090,3401,33760,22680,1
4100,3170,33247,23955,1
4110,8103,31475,24770,1
4120,8151,29333,25527,1
4130,7618,26883,25685,1
4140,9510,31592,26638,1
4150,9725,32362,24391,1
4160,2650,30258,26139,1
4170,3405,29670,23711,1
4180,7706,28599,22552,1
4190,6896,30686,25296,1
4200,4713,35956,20445,1
4210,2577,30848,22742,1
4220,6145,25198,20300,0
4230,3636,27496,22957,0
4240,3676,31613,23813,1
4250,8475,31483,23481,1
4260,7729,28197,22502,1
4270,6949,23129,15753,0
4280,3038,33217,24579,1
4290,1245,24466,19850,0
4300,3394,25645,15942,0
4310,6151,29903,20237,0
4320,4645,31030,22243,1
4330,3269,24851,24087,0
4340,5466,26716,19693,0
4350,4173,25779,16339,0
4360,3867,30547,20904,1
4370,1360,28985,22137,1
4380,5744,25297,19384,0
4390,4122,22402,20307,0
4400,9974,22261,20501,0
4410,8916,25059,17275,0
4420,1141,22406,17942,0
4430,7124,25214,21671,0
4440,7933,27657,20258,0
4450,3006,27366,19172,0
4460,7550,22689,15090,0
4470,2137,27920,20320,0
4480,7864,22235,17781,0
4490,3218,22776,20238,0
4500,1875,26016,17547,0
4510,3780,20685,17705,0
4520,9532,19850,16978,0
4530,3592,25965,17898,0
4540,9508,15978,16793,0
4550,9859,22878,15580,0
4560,3545,20023,16838,0
4570,1253,20674,13570,0
4580,4403,21133,16624,0
4590,2600,24884,15920,0
4600,6761,17528,15515,0
4610,5479,16976,14658,0
4620,1317,22213,12197,0
4630,4729,21537,15056,0
4640,1219,22689,17077,0
4650,8194,19514,13737,0
4660,1087,15732,14153,0
4670,3921,18884,14592,0
4680,3578,19771,14185,0
4690,8050,19640,13543,0
4700,8262,16638,14014,0
4710,1166,16026,12987,0
4720,3454,17047,16227,0
4730,9091,19385,14160,0
4740,1872,16629,15145,0
4750,3327,19324,13324,0
4760,7994,20523,14188,0
4770,6310,18170,12071,0
4780,8103,16456,12880,0
4790,4380,16527,11514,0
4800,1161,18758,14059,0
